seed,path,policy,total_cost,total_utility,worst_tranche_cost,mean_hedge
11,0,50% hedge,6.22325734119273,-16.904481604461306,5.969383495906524,0.5
11,0,Always hedge,15.0,-15.09,0.15,1.0
11,0,Interventional PPO,5.273733125654386,-10.974260138313932,4.36980933306081,0.6275168365240097
11,0,Never hedge,-2.5534853176145447,-38.54247525759888,11.788766991813048,0.0
11,0,Observational PPO,7.148285161697455,-15.495737864857059,5.244156197189128,0.5608186849951744
11,1,50% hedge,6.088169296227266,-17.53468083057523,7.313019840491205,0.5
11,1,Always hedge,15.0,-15.09,0.15,1.0
11,1,Interventional PPO,4.984383613136759,-11.066358476785318,5.222118701532476,0.6273918312788009
11,1,Never hedge,-2.8236614075454725,-41.311774652183864,14.47603968098241,0.0
11,1,Observational PPO,6.752006114443857,-15.686658817251137,6.245549363282612,0.5606771591305733
11,2,50% hedge,6.177841181762668,-16.61482573203291,5.893485693258829,0.5
11,2,Always hedge,15.0,-15.09,0.15,1.0
11,2,Interventional PPO,5.401100615990348,-10.990984571761576,4.237538590357689,0.6276778876781464
11,2,Never hedge,-2.6443176364746677,-37.47635505338858,11.636971386517658,0.0
11,2,Observational PPO,7.303211679979701,-15.544987863321342,5.068217984715659,0.5611408850550652
11,3,50% hedge,6.139158320043587,-16.762045071360962,6.2651050158644255,0.5
11,3,Always hedge,15.0,-15.09,0.15,1.0
11,3,Interventional PPO,5.360073700497617,-11.08427204039013,4.502620818605333,0.6275595158338547
11,3,Never hedge,-2.7216833599128307,-38.154991642042084,12.38021003172885,0.0
11,3,Observational PPO,7.4133409073363135,-15.90124913858272,5.3839288896827435,0.5609932652115822
11,4,50% hedge,5.232542449061649,-16.979022740930244,6.358472535064142,0.5
11,4,Always hedge,15.0,-15.09,0.15,1.0
11,4,Interventional PPO,4.537086143240094,-10.809988900049238,4.497069356076894,0.6271224159002304
11,4,Never hedge,-4.534915101876706,-40.81096544883073,12.566945070128284,0.0
11,4,Observational PPO,6.215139124446929,-15.488828837199932,5.3027333288607235,0.5602838578820228
11,5,50% hedge,6.7717290759165625,-17.06767334899347,5.827526146717045,0.5
11,5,Always hedge,15.0,-15.09,0.15,1.0
11,5,Interventional PPO,5.686482465156763,-11.2084162843785,4.218531146736166,0.6276984721422195
11,5,Never hedge,-1.4565418481668786,-38.13066987179312,11.50505229343409,0.0
11,5,Observational PPO,7.43113884686353,-15.585597298102188,5.050919469015603,0.5611906358599663
11,6,50% hedge,6.523200083018773,-17.278353064552537,6.500904068674818,0.5
11,6,Always hedge,15.0,-15.09,0.15,1.0
11,6,Interventional PPO,5.408078761841197,-11.152060219407566,4.605447266603297,0.6272247987985611
11,6,Never hedge,-1.953599833962457,-39.45954934095128,12.851808137349636,0.0
11,6,Observational PPO,7.2047438819433705,-15.66697017699933,5.422353724963613,0.5604873955249786
11,7,50% hedge,7.227063821446842,-18.964504125489547,6.977611245389629,0.5
11,7,Always hedge,15.0,-15.09,0.15,1.0
11,7,Interventional PPO,5.811856875511267,-12.038042394092162,4.906380749257934,0.627837797999382
11,7,Never hedge,-0.5458723571063189,-44.69755259795669,13.805222490779258,0.0
11,7,Observational PPO,7.701504231129593,-16.853554992988716,5.866056805000604,0.5612820595502853
22,0,50% hedge,6.22325734119273,-16.904481604461306,5.969383495906524,0.5
22,0,Always hedge,15.0,-15.09,0.15,1.0
22,0,Interventional PPO,10.517481853771827,-23.560158352189966,6.914314060354909,0.4670548111200333
22,0,Never hedge,-2.5534853176145447,-38.54247525759888,11.788766991813048,0.0
22,0,Observational PPO,12.77764465089616,-24.16537421154358,6.40410461160806,0.5106303125619889
22,1,50% hedge,6.088169296227266,-17.53468083057523,7.313019840491205,0.5
22,1,Always hedge,15.0,-15.09,0.15,1.0
22,1,Interventional PPO,10.356316748079413,-24.305368745858623,8.46417066351265,0.4671399384737015
22,1,Never hedge,-2.8236614075454725,-41.311774652183864,14.47603968098241,0.0
22,1,Observational PPO,12.644206908731933,-24.837042635114937,7.827064179541997,0.5107241463661194
