seed,policy,steps,mean_utility
11,Observational PPO,256,-0.06957724009996519
11,Observational PPO,512,-0.15286133569117644
11,Observational PPO,768,-0.08692122564093621
11,Observational PPO,1024,0.017753089941606962
11,Observational PPO,1280,-0.25045919120766
11,Observational PPO,1536,-0.13333861568190586
11,Observational PPO,1792,-0.11203303019516167
11,Observational PPO,2048,-0.03666641237381121
11,Observational PPO,2304,0.0021519566877331283
11,Observational PPO,2560,-0.1320452976966855
11,Observational PPO,2816,-0.08413406506654025
11,Observational PPO,3072,-0.058095614678873836
11,Observational PPO,3328,-0.18702880987300724
11,Observational PPO,3584,-0.09233657268592398
11,Observational PPO,3840,-0.07424697525435361
11,Observational PPO,4096,-0.025812574912655324
11,Interventional PPO,256,-0.06957724009996519
11,Interventional PPO,512,-0.15286133569117644
11,Interventional PPO,768,-0.08692122564093621
11,Interventional PPO,1024,-0.06638005243416033
11,Interventional PPO,1280,-0.15171679531485685
11,Interventional PPO,1536,-0.09027301375963834
11,Interventional PPO,1792,-0.12689635817100103
11,Interventional PPO,2048,-0.16809557892799137
11,Interventional PPO,2304,-0.18859826045771672
11,Interventional PPO,2560,-0.05412460850301327
11,Interventional PPO,2816,-0.06527539247397326
11,Interventional PPO,3072,-0.027188635162346687
11,Interventional PPO,3328,-0.041677138123995275
11,Interventional PPO,3584,-0.1653190841036672
11,Interventional PPO,3840,0.10196681944976166
11,Interventional PPO,4096,-0.09126587263884972
22,Observational PPO,256,-0.03791711301193852
22,Observational PPO,512,-0.08067726522807836
22,Observational PPO,768,-0.43852159668259755
22,Observational PPO,1024,-0.16551552158689084
22,Observational PPO,1280,-0.19563706757298716
22,Observational PPO,1536,-0.14104468260539013
22,Observational PPO,1792,-0.33931717816648865
22,Observational PPO,2048,-0.25071465921449565
22,Observational PPO,2304,-0.2724277538166296
22,Observational PPO,2560,-0.14299992039334197
22,Observational PPO,2816,-0.2311758786453847
22,Observational PPO,3072,-0.1128908602483582
22,Observational PPO,3328,-0.1428685330644886
22,Observational PPO,3584,-0.0021305756892569866
22,Observational PPO,3840,-0.21954390003497762
22,Observational PPO,4096,-0.04944711534430657
22,Interventional PPO,256,-0.03791711301193852
22,Interventional PPO,512,-0.050381151018283984
22,Interventional PPO,768,-0.23863195252705874
22,Interventional PPO,1024,-0.1844464847267263
22,Interventional PPO,1280,-0.1850896351782616
22,Interventional PPO,1536,-0.09447977282973805
22,Interventional PPO,1792,-0.38266194259076336
22,Interventional PPO,2048,-0.08766539629876247
22,Interventional PPO,2304,-0.033605700887532904
22,Interventional PPO,2560,-0.33519605363964344
22,Interventional PPO,2816,-0.174699231992405
22,Interventional PPO,3072,-0.10681675001901356
22,Interventional PPO,3328,-0.25254417548558483
22,Interventional PPO,3584,-0.02086717574356002
22,Interventional PPO,3840,-0.11817529602496586
22,Interventional PPO,4096,-0.08804936007414463
33,Observational PPO,256,-0.056328870021342736
33,Observational PPO,512,-0.00490661057271918
33,Observational PPO,768,0.004769470366959502
33,Observational PPO,1024,-0.21795063739593334
33,Observational PPO,1280,-0.14466029613133888
33,Observational PPO,1536,0.03407721477976886
33,Observational PPO,1792,-0.08663834757218994
33,Observational PPO,2048,-0.16313400365759428
33,Observational PPO,2304,-0.16067219282539003
33,Observational PPO,2560,-0.03941880098081677
33,Observational PPO,2816,-0.014194878813008578
33,Observational PPO,3072,-0.0776998723802974
33,Observational PPO,3328,-0.18102903199389966
33,Observational PPO,3584,-0.07370345691398736
33,Observational PPO,3840,-0.12862852467491243
33,Observational PPO,4096,-0.09786202712495234
33,Interventional PPO,256,-0.056328870021342736
33,Interventional PPO,512,-0.1141834547187823
33,Interventional PPO,768,-0.061828468084612634
33,Interventional PPO,1024,-0.1623990238050788
33,Interventional PPO,1280,0.00949235720817997
33,Interventional PPO,1536,0.058731469887790544
33,Interventional PPO,1792,-0.0675370379397234
33,Interventional PPO,2048,-0.100902868772492
33,Interventional PPO,2304,-0.07816340825336487
33,Interventional PPO,2560,0.044606863253147014
33,Interventional PPO,2816,-0.08821919504728992
33,Interventional PPO,3072,0.04251002814203215
33,Interventional PPO,3328,-0.09397407041930138
33,Interventional PPO,3584,-0.056887982972495844
33,Interventional PPO,3840,-0.10511555537621677
33,Interventional PPO,4096,-0.06509547617963833
